sku,nombre,material,horma,falda,categoria
W602-11,W0702BP-11,BANGORA 2 RANDAS IVORY,HORMA RODEO 2,FALDA 11 CM,BANGORA
W10C02-11,BANGORA FINO - 6 X 5.5 X 6,BANGORA FINO - 6 X 5.5 X 6,HORMA RODEO 2,FALDA 11 CM,BANGORA
W1202-11,BANGORA RANDA TT/SOMBRA,BANGORA RANDA TT/SOMBRA,HORMA RODEO 2,FALDA 11 CM,BANGORA
W6902-11,BANGORA TAN FLECHAS,BANGORA TAN FLECHAS,HORMA RODEO 2,FALDA 11 CM,BANGORA
W131A02-11,CHINO GLAZ G3 2X2,SISOL 3X3,HORMA RODEO 2,FALDA 11 CM,SISOL
W23617-11,CHINO GLAZ 5BU 2X2,CHINO GLAZ 5BU 2X2,HORMA OPEN,FALDA 11 CM,CHINO
W16317-11,JAP G5 2X2 RANDA X,JAP G5 2X2 RANDA X,HORMA OPEN,FALDA 11 CM,JAP
W9817-11,JAP G5 2X2 RANDA ROMBOS,JAP G5 2X2 RANDA ROMBOS,HORMA OPEN,FALDA 11 CM,JAP
W10917-11,LANA CHOCO 210 GR,LANA CHOCO 210 GR,HORMA OPEN,FALDA 11 CM,LANA
W11217-11,LANA NEGRA 210 GR,LANA NEGRA 210 GR,HORMA OPEN,FALDA 11 CM,LANA
WK113B43-9,LANA NEGRA 160 GR CRUSHABLE NIÑO,LANA CHOCO 210 GR,HORMA MAVERICK KIDS,FALDA 9 CM,LANA
W4912-9,JAP G3 2X2,JAP G3 2X2,HORMA LARRY,FALDA 9 CM,JAP
W5959-9,JAP G5 2X2  6X5X6,JAP G5 2X2  6X5X6,HORMA FANTASMA,FALDA 9 CM,JAP
W11259-9,LANA NEGRA 210 GR,LANA NEGRA 210 GR,HORMA FANTASMA,FALDA 9 CM,LANA
